상호명,상권업종중분류명,시도명,시군구명,행정동명,경도,위도
황금코다리전주,한식,전북특별자치도,전주시 덕진구,송천2동,127.120364519082,35.8648373694637
디딤광고기획,광고,전북특별자치도,전주시 완산구,효자5동,127.097046749126,35.8285017826875
남부집,주점,전북특별자치도,익산시,동산동,126.959630892673,35.9309073753216
남원집,주점,전북특별자치도,익산시,삼성동,126.989812767117,35.9584556890991
우리약국,의약·화장품 소매,전북특별자치도,김제시,요촌동,126.89410004206,35.803195912281
지석운동원,기타 보건,전북특별자치도,익산시,영등1동,126.97115863384,35.9525765682798
시장건강원,식료품 소매,전북특별자치도,진안군,진안읍,127.429427528454,35.7926249090535
한백공인중개사사무소,부동산 서비스,전북특별자치도,익산시,어양동,126.979548089801,35.9578685728084
대우가스,연료 소매,전북특별자치도,익산시,낭산면,126.984918122189,36.0487677557459
월드컵식당,한식,전북특별자치도,전주시 완산구,중화산1동,127.133553847187,35.8134968342303
창의예술연구회,장식품 소매,전북특별자치도,전주시 완산구,풍남동,127.14669117142,35.8212774229064
퍼스트모터스,자동차 수리·세차,전북특별자치도,전주시 덕진구,팔복동,127.105486746437,35.8588129510864
파스쿠찌군산나운점,비알코올 ,전북특별자치도,군산시,나운2동,126.697149042997,35.9628505588157
태강전세,고용 알선,전북특별자치도,전주시 덕진구,인후3동,127.156409287684,35.8336574771437
대림이용원,이용·미용,전북특별자치도,부안군,부안읍,126.739138341163,35.7272441861109
파워디테일링,자동차 수리·세차,전북특별자치도,전주시 덕진구,호성동,127.151396027874,35.8629997666911
하나떡집,기타 간이,전북특별자치도,전주시 완산구,풍남동,127.149350420527,35.8112791699226
제마스포츠,섬유·의복·신발 소매,전북특별자치도,군산시,수송동,126.721751454466,35.958764435855
김태형가구갤러리,가구 소매,전북특별자치도,김제시,백구면,126.998206058936,35.8765778911132
송광슈퍼,종합 소매,전북특별자치도,완주군,소양면,127.24326152785,35.8856415012177
쉼터,주점,전북특별자치도,남원시,노암동,127.389749141294,35.4012948471321
한신,철물·건설자재 소매,전북특별자치도,전주시 덕진구,호성동,127.157377398635,35.8587111258423
동부곰탕&곤드레해장국,기타 간이,전북특별자치도,익산시,영등1동,126.966781733017,35.949231832137
장군슈퍼,종합 소매,전북특별자치도,장수군,번암면,127.526198932185,35.5049501664439
동상건설,산업용품 대여,전북특별자치도,완주군,동상면,127.304657112341,35.9251021306444
이비가짬뽕격포점,중식,전북특별자치도,부안군,변산면,126.474831025756,35.6292961320289
국제조화도매센타,장식품 소매,전북특별자치도,전주시 완산구,노송동,127.143072071964,35.8271579958768
린나이대성상사,가전·통신 소매,전북특별자치도,전주시 완산구,노송동,127.145840409132,35.8219994658814
올바른언어심리발달센터,기타 보건,전북특별자치도,전주시 완산구,효자5동,127.102243608538,35.8248834240893
팡팡서비스,식물 소매,전북특별자치도,전주시 덕진구,인후2동,127.152581179926,35.8459104789329
88무화과,식료품 소매,전북특별자치도,정읍시,수성동,126.85559458278,35.566578784727
중앙자동차공업사,자동차 수리·세차,전북특별자치도,군산시,소룡동,126.675565658203,35.9708692095009
군산신세기사무용가구,가구 소매,전북특별자치도,군산시,개정동,126.743300538903,35.9623182734389
르비쥬속눈썹,이용·미용,전북특별자치도,익산시,삼성동,126.993648263324,35.9579332341344
뚱이네치킨,기타 간이,전북특별자치도,고창군,대산면,126.599675529763,35.3381677918267
날씬한요가조이필라테스노블레스점진북점,기타 교육,전북특별자치도,전주시 덕진구,진북동,127.135779490268,35.8274278203576
락유어헤어,이용·미용,전북특별자치도,전주시 덕진구,송천2동,127.119480797525,35.8661991441927
에스씨유통,가전·통신 소매,전북특별자치도,전주시 덕진구,덕진동,127.114205147559,35.8470976736186
아이맘편의점,종합 소매,전북특별자치도,군산시,수송동,126.716693638701,35.9564995111497
서울자전차점,기타 가정용품 수리,전북특별자치도,정읍시,칠보면,126.99057509125,35.6051862899922
빨간트럭,주점,전북특별자치도,고창군,고창읍,126.697730748644,35.4285849464323
짜장면집,중식,전북특별자치도,군산시,나운2동,126.701952354713,35.9619973980219
희자매숯불닭갈비,한식,전북특별자치도,군산시,수송동,126.718643632852,35.9661383133665
엘환경,청소·방제,전북특별자치도,고창군,고창읍,126.700205537013,35.4412545845886
라보떼,이용·미용,전북특별자치도,전주시 덕진구,우아1동,127.152432503257,35.8492002509449
느릿,기타 교육,전북특별자치도,전주시 완산구,삼천1동,127.118218467782,35.7989845447458
치얼업,비알코올 ,전북특별자치도,전주시 덕진구,인후3동,127.163654320384,35.8261583744554
정읍문화원,기타 교육,전북특별자치도,정읍시,연지동,126.845056591153,35.5683953361445
부안중앙농협행안지점주유소및하나로마트,연료 소매,전북특별자치도,부안군,행안면,126.704388222043,35.7301290165913
크린토피아익산지사,세탁,전북특별자치도,익산시,삼성동,126.993692845004,35.9548960565304
신사임당혼수명품관,섬유·의복·신발 소매,전북특별자치도,익산시,평화동,126.945466872658,35.9340290930291
코코호도,기타 간이,전북특별자치도,전주시 덕진구,송천2동,127.119287072018,35.8551409485573
할머니집,종합 소매,전북특별자치도,부안군,진서면,126.609890808706,35.5875749504793
수비비안,섬유·의복·신발 소매,전북특별자치도,전주시 완산구,효자3동,127.114246685954,35.8065770177521
전주환영돌솥밥,한식,전북특별자치도,전주시 완산구,중화산2동,127.12214725547,35.8143831887365
금사자,시계·귀금속 소매,전북특별자치도,전주시 덕진구,여의동,127.077394587215,35.8428550622908
찬빛태권도,기타 교육,전북특별자치도,진안군,진안읍,127.426409201415,35.7908511616928
